epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,926.067,0.87523,0.40257,0.78351,0.83898,0.66918,0.76015,0.49508,0.83387,0.41523,0.79707,0.00108294,0.00108294,0.00108294
56,941.151,0.82403,0.38448,0.7847,0.90983,0.74838,0.82378,0.55814,0.82989,0.4144,0.79726,0.00107984,0.00107984,0.00107984
57,956.396,0.8379,0.38717,0.78172,0.89405,0.72969,0.80874,0.52441,0.90495,0.40091,0.80047,0.00107675,0.00107675,0.00107675
58,971.468,0.81744,0.3833,0.78166,0.87928,0.75801,0.8093,0.56893,0.79578,0.3906,0.79426,0.00107366,0.00107366,0.00107366
59,986.714,0.77134,0.36816,0.78092,0.83581,0.75158,0.81598,0.55068,0.78188,0.37667,0.79317,0.00107056,0.00107056,0.00107056
60,1001.81,0.77524,0.36478,0.77872,0.9259,0.73775,0.80231,0.55776,0.81169,0.39188,0.79491,0.00106747,0.00106747,0.00106747
61,1016.86,0.78931,0.37475,0.77818,0.89584,0.74505,0.81206,0.5468,0.81688,0.40435,0.79468,0.00106437,0.00106437,0.00106437
62,1034.25,0.80378,0.37459,0.78156,0.88169,0.73586,0.81094,0.54072,0.81651,0.37982,0.79712,0.00106128,0.00106128,0.00106128
63,1050.94,0.7716,0.3662,0.78052,0.89919,0.7251,0.82237,0.55101,0.85511,0.42295,0.79436,0.00105819,0.00105819,0.00105819
64,1067.17,0.78353,0.3678,0.77993,0.86913,0.7552,0.79408,0.55084,0.81998,0.38893,0.79555,0.00105509,0.00105509,0.00105509
65,1082.81,0.77987,0.36485,0.78108,0.91575,0.72103,0.81283,0.55893,0.83148,0.39515,0.79622,0.001052,0.001052,0.001052
66,1098.25,0.75899,0.35747,0.77863,0.91007,0.7352,0.7976,0.55952,0.79287,0.38385,0.79257,0.00104891,0.00104891,0.00104891
67,1113.36,0.77982,0.37607,0.78153,0.92978,0.72435,0.8186,0.56707,0.8071,0.38626,0.79397,0.00104581,0.00104581,0.00104581
68,1129.98,0.75653,0.35904,0.77917,0.94665,0.73165,0.81859,0.55688,0.81433,0.38518,0.79338,0.00104272,0.00104272,0.00104272
69,1147.53,0.75303,0.36066,0.77964,0.89735,0.74119,0.81364,0.55736,0.80373,0.38565,0.79342,0.00103962,0.00103962,0.00103962
70,1173.51,0.78544,0.37078,0.78178,0.89044,0.73311,0.79506,0.53744,0.82494,0.4085,0.79497,0.00103653,0.00103653,0.00103653
71,1199.76,0.83187,0.38969,0.78032,0.92031,0.71165,0.80022,0.54695,0.85117,0.41875,0.79494,0.00103344,0.00103344,0.00103344
72,1221.35,0.77808,0.36716,0.77926,0.93143,0.72107,0.81744,0.55411,0.82781,0.39004,0.79571,0.00103034,0.00103034,0.00103034
73,1242.81,0.74334,0.35184,0.77845,0.93034,0.72433,0.83076,0.55821,0.85281,0.39906,0.79664,0.00102725,0.00102725,0.00102725
74,1272.86,0.7764,0.36251,0.78047,0.85433,0.69371,0.7814,0.53018,0.84458,0.39724,0.79606,0.00102416,0.00102416,0.00102416
75,1301.08,0.75634,0.35316,0.77933,0.94538,0.72673,0.80839,0.56735,0.79148,0.38066,0.79162,0.00102106,0.00102106,0.00102106
76,1322.87,0.71667,0.34169,0.77823,0.90501,0.75454,0.81662,0.57757,0.7955,0.37264,0.79361,0.00101797,0.00101797,0.00101797
77,1344.47,0.76584,0.36312,0.77935,0.96017,0.72862,0.80642,0.5409,0.85839,0.40296,0.79539,0.00101488,0.00101488,0.00101488
78,1363.02,0.7599,0.36134,0.77864,0.92014,0.7302,0.80534,0.54984,0.8338,0.39383,0.79493,0.00101178,0.00101178,0.00101178
79,1381.88,0.74907,0.35646,0.77728,0.9233,0.76253,0.81867,0.55865,0.87733,0.3961,0.79804,0.00100869,0.00100869,0.00100869
80,1399.92,0.75391,0.35572,0.77781,0.90925,0.73019,0.82361,0.54781,0.81827,0.38223,0.7934,0.00100559,0.00100559,0.00100559
81,1417.55,0.71576,0.34072,0.77718,0.85846,0.75998,0.81936,0.57527,0.79405,0.36967,0.79316,0.0010025,0.0010025,0.0010025
82,1433.58,0.70428,0.3371,0.7756,0.89134,0.68584,0.78915,0.52982,0.82153,0.39029,0.79479,0.000999406,0.000999406,0.000999406
83,1452.51,0.72068,0.34401,0.77789,0.84701,0.74054,0.80962,0.55174,0.82731,0.38708,0.79514,0.000996313,0.000996313,0.000996313
84,1469.52,0.74941,0.35385,0.77685,0.88697,0.75334,0.81807,0.56432,0.83757,0.41415,0.79616,0.000993219,0.000993219,0.000993219
85,1487.92,0.73428,0.34668,0.77496,0.88027,0.73786,0.80646,0.54882,0.81773,0.39168,0.79358,0.000990125,0.000990125,0.000990125
86,1507.69,0.72631,0.34464,0.77762,0.9226,0.71019,0.80469,0.53736,0.83092,0.39899,0.79371,0.000987031,0.000987031,0.000987031
87,1524.81,0.72192,0.34712,0.77622,0.85638,0.73696,0.80175,0.55719,0.81609,0.38442,0.79382,0.000983938,0.000983938,0.000983938
88,1543.41,0.74272,0.35083,0.77634,0.89922,0.69895,0.80147,0.53937,0.83352,0.40788,0.79418,0.000980844,0.000980844,0.000980844
89,1573.21,0.70236,0.33733,0.77543,0.96311,0.71786,0.83597,0.55981,0.79231,0.38391,0.7915,0.00097775,0.00097775,0.00097775
90,1599.39,0.71388,0.33735,0.77669,0.82467,0.74392,0.79775,0.54429,0.80228,0.38475,0.79305,0.000974656,0.000974656,0.000974656
91,1643.44,0.72538,0.33656,0.77648,0.80547,0.75367,0.79674,0.54684,0.83383,0.38937,0.79626,0.000971562,0.000971562,0.000971562
92,1683.07,0.7052,0.33073,0.77637,0.94062,0.68791,0.81123,0.55684,0.79121,0.38444,0.79197,0.000968469,0.000968469,0.000968469
93,1698.53,0.70129,0.33101,0.7758,0.82932,0.71334,0.81225,0.57141,0.7989,0.38339,0.7918,0.000965375,0.000965375,0.000965375
94,1713.94,0.69722,0.32881,0.77626,0.866,0.72778,0.81543,0.56897,0.80643,0.39152,0.79279,0.000962281,0.000962281,0.000962281
95,1729.35,0.7068,0.33341,0.77641,0.87306,0.72976,0.81944,0.56358,0.82905,0.38648,0.79446,0.000959187,0.000959187,0.000959187
96,1744.81,0.71598,0.34215,0.77674,0.95694,0.68842,0.80762,0.56629,0.81385,0.38539,0.79293,0.000956094,0.000956094,0.000956094
97,1760.35,0.71146,0.33695,0.77604,0.90282,0.68658,0.8082,0.55042,0.80813,0.39271,0.79126,0.000953,0.000953,0.000953
98,1775.64,0.6853,0.3263,0.77458,0.95045,0.69331,0.80341,0.5737,0.81326,0.38705,0.79234,0.000949906,0.000949906,0.000949906
99,1791.06,0.71612,0.3395,0.77523,0.87626,0.72281,0.79058,0.53522,0.83331,0.39433,0.79421,0.000946812,0.000946812,0.000946812
100,1806.32,0.69689,0.33358,0.77554,0.86435,0.75182,0.81468,0.56369,0.82787,0.38043,0.79386,0.000943719,0.000943719,0.000943719
101,1821.68,0.70447,0.32987,0.7762,0.88847,0.68782,0.80743,0.5628,0.80317,0.38413,0.79222,0.000940625,0.000940625,0.000940625
