epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,15620.1,0.21195,1.7018,0.15118,0.21378,0.93603,0.9986,1,0.995,0.95275,0.9986,1,0.995,0.58514,0.40768,1.57935,0.1618,0.27709,0.72736,0.00171149,0.00171149,0.00171149
104,15782.4,0.2275,1.72642,0.15517,0.2165,0.96837,0.99812,1,0.995,0.94717,0.93941,0.94118,0.91866,0.46471,0.41535,2.25144,0.17238,0.27223,0.72717,0.00170866,0.00170866,0.00170866
105,15934.5,0.20213,1.70014,0.15458,0.19666,0.94567,0.99806,1,0.995,0.9615,0.99806,1,0.995,0.70338,0.3717,1.19676,0.15349,0.26508,0.66533,0.00170583,0.00170583,0.00170583
106,16092.7,0.20316,1.58458,0.15135,0.20394,0.95236,0.99844,1,0.995,0.9683,0.99844,1,0.995,0.64487,0.33954,1.41003,0.156,0.27489,0.63344,0.001703,0.001703,0.001703
107,16244.9,0.20624,1.48899,0.14933,0.18951,0.95077,0.9984,1,0.995,0.94945,0.93964,0.94118,0.94301,0.59395,0.38802,1.72685,0.16077,0.27325,0.68142,0.00170017,0.00170017,0.00170017
108,16418.4,0.1991,1.54627,0.14658,0.19007,0.95564,0.99835,1,0.995,0.96299,0.99835,1,0.995,0.69777,0.36058,1.26872,0.15749,0.24211,0.65052,0.00169734,0.00169734,0.00169734
109,16573.4,0.18217,1.43058,0.15235,0.18289,0.92531,0.99844,1,0.995,0.96838,0.99844,1,0.995,0.47873,0.37321,1.77724,0.17012,0.23467,0.67683,0.00169451,0.00169451,0.00169451
110,16731.4,0.1774,1.61932,0.14476,0.1808,0.94972,0.99839,1,0.995,0.97018,0.99839,1,0.995,0.58007,0.35019,1.82863,0.14273,0.23596,0.65413,0.00169169,0.00169169,0.00169169
111,16883.1,0.19054,1.61305,0.15072,0.18511,0.92235,0.99797,1,0.995,0.96413,0.99797,1,0.995,0.62755,0.39354,1.45234,0.16492,0.25811,0.73364,0.00168886,0.00168886,0.00168886
112,17036.4,0.18762,1.65903,0.15152,0.17557,0.93322,0.99778,1,0.995,0.97077,0.99778,1,0.995,0.67506,0.33791,1.50556,0.15704,0.25811,0.66083,0.00168603,0.00168603,0.00168603
